,Neighborhood,Latitude,Longitude,Zip Code,MedianIncome,CostOfLivingIndex,MedianMortgageToIncomeRatio,OwnerOccupiedHomesPercent,MedianRoomsInHome,CollegeDegreePercent,ProfessionalPercent,Population,AverageHouseholdSize,MedianAge,MaleToFemaleRatio,MarriedPercent,DivorcedPercent,WhitePercent,BlackPercent,AsianPercent,HispanicEthnicityPercent
35,"Arlington Park, Dallas, TX",32.815543,-96.8505516,75235,32030,73.7,21.3,35.5,3.5,14.8,19.1,17438,3.1,29.5,134.5,50.7,7.5,16.3,9.5,2.6,69.7
36,"Arcadia Park, Dallas, TX",32.7495751,-96.91055999999999,75211,32702,63.3,21.5,54.2,4.4,6.1,13.6,68730,3.6,25.8,100.7,55.2,7.7,13.7,7.5,1.0,76.9
37,"Beckley Club Estates, Dallas, TX",32.82944150000001,-96.63374979999999,75150,46470,92.4,19.6,54.4,5.0,19.8,31.5,55353,2.6,32.7,86.2,56.9,12.7,68.0,10.1,4.0,15.6
38,"Elmwood, Dallas, TX",32.7261179,-96.8480185,75224,33515,68.1,21.2,58.8,4.9,9.6,17.1,32553,3.3,26.8,85.7,52.0,8.6,14.8,33.9,0.3,49.1
39,"Kessler Park Estates, Dallas, TX",32.7630182,-96.8225599,75203,21993,47.2,23.7,32.2,3.9,5.3,8.7,19746,3.3,27.0,115.8,47.1,9.0,3.8,35.2,0.2,59.8
40,"Redbird, Dallas, TX",32.6765725,-96.88271490000001,75237,26270,98.7,19.4,5.4,3.3,16.1,23.7,12697,2.2,26.0,68.2,38.5,12.3,3.5,88.5,0.0,7.2
41,"Cedar Run, Dallas, TX",32.7734812,-96.66319039999999,75227,33428,72.5,22.9,59.8,4.8,10.6,18.4,49019,3.1,28.1,85.2,54.5,8.9,17.3,37.1,1.3,43.3
42,"Elam, Dallas, TX",32.7195315,-96.6662384,75217,31532,56.9,21.5,65.5,4.9,4.2,13.2,72437,3.5,27.0,94.7,52.7,10.1,17.2,34.4,0.4,46.9
43,"Kleberg, Dallas, TX",32.6715211,-96.6158262,75253,34537,39.5,21.0,75.0,4.8,5.8,16.2,15796,3.0,28.8,99.9,56.9,13.6,66.6,7.7,0.5,23.5
44,"Dixon Circle, Dallas, TX",32.76502,-96.7327755,75210,15058,37.9,30.3,28.8,4.3,3.0,11.0,9369,2.8,29.1,81.2,33.2,11.5,1.6,81.3,0.1,16.0
45,"Cedar Crest, Dallas, TX",32.7200994,-96.80374119999999,75216,24960,47.5,22.9,61.9,4.9,5.5,15.5,49440,2.9,33.6,82.0,44.2,11.4,2.0,77.3,0.2,19.3
46,"Alta Park, Dallas, TX",32.6576534,-96.77505099999999,75241,30300,63.4,22.0,69.2,5.4,11.7,20.8,23815,3.0,34.5,70.0,42.9,13.0,2.1,92.7,0.2,3.9
47,"Eagle Ford, Dallas, TX",32.7848517,-96.9008376,75212,22555,38.3,24.1,50.2,4.5,2.2,10.2,22239,3.7,24.9,91.4,48.0,7.7,2.0,35.1,0.4,61.9
48,"La L'aceate, Dallas, TX",34.0522342,-118.2436849,90012,20152,177.4,25.5,12.2,2.3,12.9,31.8,30332,3.8,35.0,148.2,49.3,12.3,12.5,16.3,38.6,30.2
49,"Ledbetter Gardens, Dallas, TX",32.6912208,-96.87313929999999,75233,36869,93.7,20.9,53.9,5.2,16.9,23.6,13760,3.2,27.8,93.1,53.0,8.1,13.5,39.2,0.5,45.5
